,PG9,10-1074,PGT121,b12,2G12,3BNC117,PGDM1400,2F5,VCR01,4E10
286,0.158,0.004,100.0,21.38,0.62754,0.064361,20.0,1.52806,3.47,2.32659
287,100.0,0.006,0.5805,100.0,100.0,0.079708,0.038584,100.0,5.47,14.4
288,0.085,0.004,0.001,100.0,50.0,1.736,1.36,0.80665,2.21,1.1
289,100.0,100.0,0.15691,4.17,100.0,0.015,3.25,2.8,20.0,4.8
290,0.63006,100.0,50.0,46.95,33.4,0.012,6.98,2.0,20.0,0.10618
291,0.0026207,100.0,40.0,100.0,50.0,0.003,8.24,5.8,20.0,2.57
292,0.077,100.0,50.0,6.92,50.0,0.021,6.35,1.02985,20.0,2.87569
293,20.0,100.0,20.0,100.0,0.51641,0.025,8.91,100.0,20.0,14.53
294,100.0,100.0,0.017339,50.0,100.0,0.014,20.0,50.0,20.0,100.0
295,0.67023,100.0,0.010769,100.0,50.0,0.016,0.02,10.41,20.0,5.2285
296,0.058548,100.0,0.02718,1.52,50.0,0.014,7.74,39.08,1.63,2.2
297,0.23545,40.0,0.12824,0.42,14.6,0.016,0.006,6.62167,20.0,8.88
298,0.062,0.001,0.95335,100.0,50.0,0.018,0.0049638,8.22,0.18,12.88
299,0.063,0.001,0.17525,0.1,100.0,0.013,100.0,8.63,0.077961,0.63809
300,0.041,0.001,0.7063,1.22328,4.84,0.64,0.0050443,100.0,0.071774,13.58
301,0.077,0.002,40.0,9.30386,0.45867,0.014,0.039997,12.98,0.048566,7.46
302,9.362,0.001,40.0,2.66626,22.47,0.043,0.001,8.61,0.089114,4.94
303,20.0,0.003,1.13176,0.15731,26.14,0.066,100.0,3.81,0.26,12.15
304,100.0,0.051,0.48827,50.0,2.13414,0.056,100.0,100.0,0.05212,1.6
305,22.5258,0.002,0.0020393,10.12,100.0,0.033,0.008,1.6,0.81,0.37229
306,0.14738,0.001,0.0061028,50.0,17.2,0.084,0.002,100.0,0.5,4.55
307,0.45,0.001,40.0,100.0,100.0,0.055,30.1,100.0,0.69,15.52
308,20.0,0.001,0.002,100.0,100.0,0.091,6.223,100.0,0.76,12.33
309,40.0,0.001,0.001,100.0,100.0,0.072,100.0,7.61,0.091148,10.6
310,40.0,0.001,0.001,100.0,100.0,0.058,0.0037114,3.3,0.31,7.63
311,0.28,100.0,100.0,100.0,100.0,0.071,100.0,100.0,3.34535,2.96596
